"id";"Date.mutation";"Nature.mutation";"Code.postal";"Commune";"Code.departement";"Type.local";"Surface.reelle.bati";"Nombre.pieces.principales";"Surface.terrain"
621;"03/01/2024";"Vente";79260;"LA CRECHE";"79";"Maison";64;3;54
624;"05/01/2024";"Vente";79360;"BEAUVOIR-SUR-NIORT";"79";"Maison";122;5;483
628;"25/01/2024";"Vente";79000;"NIORT";"79";"Maison";89;4;497
632;"29/01/2024";"Vente";79000;"NIORT";"79";"Maison";78;4;351
641;"08/01/2024";"Vente";79360;"BEAUVOIR-SUR-NIORT";"79";"Maison";72;3;720
651;"24/01/2024";"Vente";79210;"PRIN-DEYRANCON";"79";"Maison";96;4;394
653;"16/01/2024";"Vente";79000;"NIORT";"79";"Maison";70;3;65
655;"17/01/2024";"Vente";79000;"NIORT";"79";"Appartement";45;2;NA
666;"12/01/2024";"Vente";79210;"SAINT-GEORGES-DE-REX";"79";"Maison";166;4;352
667;"29/01/2024";"Vente";79000;"NIORT";"79";"Maison";87;5;250
670;"30/01/2024";"Vente";79000;"NIORT";"79";"Maison";81;4;468
673;"05/02/2024";"Vente";79000;"NIORT";"79";"Maison";121;4;660
683;"31/01/2024";"Vente";79180;"CHAURAY";"79";"Maison";110;4;629
689;"08/02/2024";"Vente";79260;"LA CRECHE";"79";"Maison";85;4;653
694;"06/02/2024";"Vente";79000;"NIORT";"79";"Maison";38;2;28
695;"09/02/2024";"Vente";79000;"NIORT";"79";"Maison";72;3;183
696;"18/01/2024";"Vente";79000;"NIORT";"79";"Appartement";54;3;NA
697;"30/01/2024";"Vente";79270;"LE VANNEAU-IRLEAU";"79";"Maison";32;1;38
700;"14/02/2024";"Vente";79360;"BEAUVOIR-SUR-NIORT";"79";"Maison";79;4;NA
704;"26/01/2024";"Vente";79000;"NIORT";"79";"Maison";90;4;490
725;"30/01/2024";"Vente";79260;"LA CRECHE";"79";"Maison";86;5;540
735;"21/02/2024";"Vente";79000;"NIORT";"79";"Maison";100;3;759
744;"13/02/2024";"Vente";79510;"COULON";"79";"Maison";71;3;460
754;"23/02/2024";"Vente";79000;"NIORT";"79";"Maison";32;2;22
769;"07/03/2024";"Vente";79230;"PRAHECQ";"79";"Maison";84;4;750
772;"15/02/2024";"Vente";79000;"NIORT";"79";"Appartement";53;1;NA
775;"28/02/2024";"Vente";79000;"NIORT";"79";"Maison";65;2;50
784;"19/02/2024";"Vente";79000;"NIORT";"79";"Maison";70;3;758
814;"11/03/2024";"Vente";79000;"NIORT";"79";"Maison";42;3;57
820;"06/03/2024";"Vente";79000;"NIORT";"79";"Appartement";41;2;NA
821;"07/03/2024";"Vente";79000;"NIORT";"79";"Maison";102;5;329
833;"08/03/2024";"Vente";79180;"CHAURAY";"79";"Maison";74;4;527
841;"21/03/2024";"Vente";79000;"NIORT";"79";"Maison";121;4;432
849;"26/03/2024";"Vente";79410;"ECHIRE";"79";"Maison";68;4;369
854;"25/03/2024";"Vente";79000;"NIORT";"79";"Maison";76;4;216
858;"15/03/2024";"Vente";79000;"NIORT";"79";"Maison";68;4;167
859;"15/03/2024";"Vente";79000;"NIORT";"79";"Maison";96;4;459
865;"26/03/2024";"Vente";79000;"NIORT";"79";"Maison";108;4;570
866;"04/04/2024";"Vente";79230;"PRAHECQ";"79";"Maison";96;3;81
867;"27/03/2024";"Vente";79230;"AIFFRES";"79";"Maison";130;5;534
870;"19/03/2024";"Vente";79000;"NIORT";"79";"Maison";94;4;238
897;"18/03/2024";"Vente";79510;"COULON";"79";"Maison";131;3;484
901;"09/04/2024";"Vente";79160;"COULONGES-SUR-L AUTIZE";"79";"Maison";87;3;49
903;"10/04/2024";"Vente";79000;"NIORT";"79";"Maison";87;4;152
904;"12/04/2024";"Vente";79000;"NIORT";"79";"Appartement";68;3;NA
905;"22/03/2024";"Vente";79000;"NIORT";"79";"Maison";52;3;40
908;"10/04/2024";"Vente";79000;"NIORT";"79";"Appartement";24;1;NA
918;"21/03/2024";"Vente";79510;"COULON";"79";"Maison";70;4;554
919;"12/04/2024";"Vente";79210;"MAUZE-SUR-LE-MIGNON";"79";"Maison";93;5;1004
929;"28/03/2024";"Vente";79410;"ECHIRE";"79";"Maison";80;4;617
933;"27/03/2024";"Vente";79510;"COULON";"79";"Maison";60;3;34
936;"25/03/2024";"Vente";79000;"NIORT";"79";"Appartement";24;1;NA
958;"26/04/2024";"Vente";79000;"NIORT";"79";"Appartement";86;4;NA
960;"04/04/2024";"Vente";79000;"NIORT";"79";"Maison";91;4;71
981;"26/04/2024";"Vente";79000;"NIORT";"79";"Maison";82;4;666
984;"25/04/2024";"Vente";79000;"NIORT";"79";"Appartement";43;2;NA
995;"18/04/2024";"Vente";79000;"NIORT";"79";"Maison";80;3;102
1000;"19/04/2024";"Vente";79000;"NIORT";"79";"Maison";100;4;104
1001;"06/05/2024";"Vente";79180;"CHAURAY";"79";"Maison";111;4;430
1006;"13/05/2024";"Vente";79000;"NIORT";"79";"Maison";116;5;429
1024;"17/05/2024";"Vente";79410;"ECHIRE";"79";"Maison";216;7;1197
1034;"06/05/2024";"Vente";79180;"CHAURAY";"79";"Maison";81;3;344
1053;"29/04/2024";"Vente";79000;"NIORT";"79";"Maison";56;3;273
1063;"30/04/2024";"Vente";79000;"NIORT";"79";"Maison";88;4;315
1077;"15/05/2024";"Vente";79260;"LA CRECHE";"79";"Maison";36;1;43
1079;"21/05/2024";"Vente";79000;"NIORT";"79";"Maison";84;4;209
1083;"22/05/2024";"Vente";79000;"NIORT";"79";"Maison";81;4;332
1088;"29/05/2024";"Vente";79000;"NIORT";"79";"Maison";65;3;61
1091;"04/06/2024";"Vente";79000;"NIORT";"79";"Maison";126;5;749
1096;"22/05/2024";"Vente";79270;"FRONTENAY-ROHAN-ROHAN";"79";"Maison";124;1;538
1100;"05/06/2024";"Vente";79000;"NIORT";"79";"Appartement";48;2;NA
1101;"28/05/2024";"Vente";79460;"MAGNE";"79";"Maison";142;5;650
1105;"29/05/2024";"Vente";79000;"NIORT";"79";"Maison";82;3;520
1112;"28/05/2024";"Vente";79000;"NIORT";"79";"Appartement";24;1;NA
1117;"10/06/2024";"Vente";79000;"NIORT";"79";"Maison";62;3;41
1122;"04/06/2024";"Vente";79000;"NIORT";"79";"Maison";71;4;170
1131;"31/05/2024";"Vente";79000;"NIORT";"79";"Maison";115;4;510
1141;"20/06/2024";"Vente";79210;"MAUZE-SUR-LE-MIGNON";"79";"Maison";64;2;458
1143;"24/06/2024";"Vente";79000;"NIORT";"79";"Appartement";63;3;NA
1145;"06/06/2024";"Vente";79000;"NIORT";"79";"Maison";60;3;39
1147;"19/06/2024";"Vente";79000;"NIORT";"79";"Appartement";44;2;NA
1152;"11/06/2024";"Vente";79000;"NIORT";"79";"Appartement";39;2;NA
1155;"29/05/2024";"Vente";79000;"NIORT";"79";"Maison";82;2;205
1158;"27/06/2024";"Vente";79000;"NIORT";"79";"Appartement";40;2;NA
1167;"21/06/2024";"Vente";79000;"NIORT";"79";"Maison";82;3;1013
1184;"07/06/2024";"Vente";79180;"CHAURAY";"79";"Maison";88;4;424
1188;"27/06/2024";"Vente";79180;"CHAURAY";"79";"Appartement";41;2;NA
1189;"19/06/2024";"Vente";79000;"NIORT";"79";"Maison";78;4;234
1190;"07/06/2024";"Vente";79000;"SCIECQ";"79";"Maison";145;6;1000
1192;"01/07/2024";"Vente";79000;"NIORT";"79";"Maison";68;4;363
1194;"07/06/2024";"Vente";79460;"MAGNE";"79";"Maison";90;4;506
1195;"29/05/2024";"Vente";79000;"NIORT";"79";"Maison";97;4;331
1203;"21/06/2024";"Vente";79160;"COULONGES-SUR-L AUTIZE";"79";"Maison";93;4;836
1207;"17/06/2024";"Vente";79000;"NIORT";"79";"Appartement";49;2;NA
1209;"21/06/2024";"Vente";79000;"NIORT";"79";"Appartement";27;1;NA
1213;"26/06/2024";"Vente";79230;"AIFFRES";"79";"Maison";30;2;163
1217;"27/06/2024";"Vente";79270;"SAINT-SYMPHORIEN";"79";"Maison";192;6;557
1223;"17/06/2024";"Vente";79000;"NIORT";"79";"Appartement";48;2;NA
1226;"01/07/2024";"Vente";79000;"NIORT";"79";"Appartement";67;3;NA
1230;"11/07/2024";"Vente";79000;"NIORT";"79";"Maison";70;3;87
1237;"28/06/2024";"Vente";79000;"NIORT";"79";"Maison";108;5;398
1238;"02/07/2024";"Vente";79000;"NIORT";"79";"Maison";50;3;44
1244;"25/06/2024";"Vente";79000;"NIORT";"79";"Maison";129;6;1189
1248;"03/07/2024";"Vente";79000;"NIORT";"79";"Maison";84;5;675
1256;"09/07/2024";"Vente";79000;"NIORT";"79";"Maison";95;4;448
1260;"12/07/2024";"Vente";79180;"CHAURAY";"79";"Maison";74;4;480
1265;"15/07/2024";"Vente";79260;"LA CRECHE";"79";"Maison";138;6;1153
1272;"21/06/2024";"Vente";79000;"NIORT";"79";"Maison";140;6;700
1276;"09/07/2024";"Vente";79000;"NIORT";"79";"Appartement";54;3;NA
1280;"16/07/2024";"Vente";79000;"NIORT";"79";"Maison";148;6;293
1294;"08/07/2024";"Vente";79000;"NIORT";"79";"Appartement";68;3;NA
1301;"17/07/2024";"Vente";79230;"FORS";"79";"Maison";104;3;723
1306;"08/07/2024";"Vente";79160;"COULONGES-SUR-L AUTIZE";"79";"Maison";81;5;351
1317;"31/07/2024";"Vente";79180;"CHAURAY";"79";"Maison";140;4;317
1330;"01/08/2024";"Vente";79230;"FORS";"79";"Maison";140;5;392
1333;"24/07/2024";"Vente";79000;"NIORT";"79";"Maison";62;3;29
1339;"18/07/2024";"Vente";79000;"NIORT";"79";"Maison";198;5;1073
1340;"15/07/2024";"Vente";79000;"NIORT";"79";"Maison";90;5;573
1343;"02/08/2024";"Vente";79000;"NIORT";"79";"Maison";250;7;638
1350;"08/08/2024";"Vente";79000;"NIORT";"79";"Maison";260;6;825
1353;"22/07/2024";"Vente";79230;"PRAHECQ";"79";"Maison";94;5;497
1360;"25/07/2024";"Vente";79360;"BEAUVOIR-SUR-NIORT";"79";"Maison";90;4;378
1367;"25/07/2024";"Vente";79000;"NIORT";"79";"Maison";70;4;163
1390;"30/07/2024";"Vente";79000;"NIORT";"79";"Maison";55;2;26
1400;"26/08/2024";"Vente";79000;"NIORT";"79";"Maison";90;4;238
1414;"02/08/2024";"Vente";79000;"NIORT";"79";"Maison";51;4;351
1419;"02/08/2024";"Vente";79230;"VOUILLE";"79";"Maison";97;4;459
1420;"02/08/2024";"Vente";79260;"LA CRECHE";"79";"Maison";125;4;1124
1421;"05/08/2024";"Vente";79000;"NIORT";"79";"Maison";114;4;637
1422;"06/08/2024";"Vente";79360;"GRANZAY-GRIPT";"79";"Maison";98;3;310
1424;"28/08/2024";"Vente";79000;"NIORT";"79";"Maison";100;4;491
1426;"27/08/2024";"Vente";79180;"CHAURAY";"79";"Maison";77;4;817
1434;"30/08/2024";"Vente";79000;"NIORT";"79";"Maison";92;3;482
1436;"12/08/2024";"Vente";79000;"NIORT";"79";"Maison";45;3;32
1440;"06/08/2024";"Vente";79000;"NIORT";"79";"Maison";126;5;577
1448;"30/08/2024";"Vente";79000;"NIORT";"79";"Maison";112;5;844
1453;"20/08/2024";"Vente";79000;"NIORT";"79";"Maison";100;5;102
1456;"05/09/2024";"Vente";79210;"MAUZE-SUR-LE-MIGNON";"79";"Maison";63;3;553
1462;"22/08/2024";"Vente";79000;"NIORT";"79";"Appartement";63;3;NA
1463;"23/08/2024";"Vente";79000;"NIORT";"79";"Maison";42;1;79
1466;"27/08/2024";"Vente";79270;"FRONTENAY-ROHAN-ROHAN";"79";"Maison";107;4;447
1469;"30/08/2024";"Vente";79000;"NIORT";"79";"Appartement";64;3;NA
1472;"12/08/2024";"Vente";79180;"CHAURAY";"79";"Maison";200;7;2520
1476;"26/08/2024";"Vente";79260;"LA CRECHE";"79";"Maison";134;6;1003
1478;"05/09/2024";"Vente";79410;"SAINT-MAXIRE";"79";"Maison";119;4;527
1479;"26/08/2024";"Vente";79270;"FRONTENAY-ROHAN-ROHAN";"79";"Maison";63;3;361
1480;"12/08/2024";"Vente";79000;"NIORT";"79";"Maison";94;5;336
1481;"30/08/2024";"Vente";79000;"NIORT";"79";"Maison";92;5;319
1485;"29/08/2024";"Vente";79000;"NIORT";"79";"Maison";98;4;589
1491;"22/08/2024";"Vente";79210;"LE BOURDET";"79";"Maison";129;5;918
1497;"29/08/2024";"Vente";79000;"NIORT";"79";"Maison";66;3;78
1498;"04/09/2024";"Vente";79000;"NIORT";"79";"Maison";64;2;253
1500;"30/08/2024";"Vente";79410;"ECHIRE";"79";"Maison";180;6;1165
1507;"03/09/2024";"Vente";79270;"FRONTENAY-ROHAN-ROHAN";"79";"Maison";73;4;432
1510;"19/09/2024";"Vente";79000;"NIORT";"79";"Maison";132;5;1121
1512;"27/08/2024";"Vente";79000;"NIORT";"79";"Appartement";78;3;NA
1515;"29/08/2024";"Vente";79230;"PRAHECQ";"79";"Maison";143;6;1052
1517;"29/08/2024";"Vente";79360;"BEAUVOIR-SUR-NIORT";"79";"Maison";129;6;617
1518;"06/09/2024";"Vente";79360;"GRANZAY-GRIPT";"79";"Maison";147;5;578
1520;"06/09/2024";"Vente";79000;"NIORT";"79";"Appartement";77;4;NA
1530;"30/08/2024";"Vente";79460;"MAGNE";"79";"Maison";130;4;294
1540;"06/09/2024";"Vente";79000;"NIORT";"79";"Appartement";34;2;NA
1549;"25/09/2024";"Vente";79260;"LA CRECHE";"79";"Maison";120;4;412
1552;"16/09/2024";"Vente";79000;"NIORT";"79";"Maison";78;5;492
1553;"03/09/2024";"Vente";79260;"LA CRECHE";"79";"Maison";75;3;223
1555;"12/09/2024";"Vente";79000;"NIORT";"79";"Appartement";23;1;NA
1557;"12/09/2024";"Vente";79360;"BEAUVOIR-SUR-NIORT";"79";"Maison";135;6;1204
1561;"20/09/2024";"Vente";79000;"NIORT";"79";"Appartement";134;4;NA
1565;"20/09/2024";"Vente";79000;"NIORT";"79";"Maison";68;3;46
1570;"06/09/2024";"Vente";79000;"NIORT";"79";"Maison";77;4;226
1582;"30/09/2024";"Vente";79410;"SAINT-REMY";"79";"Maison";77;2;589
1593;"13/09/2024";"Vente";79230;"VOUILLE";"79";"Maison";97;4;744
1603;"04/10/2024";"Vente";79000;"NIORT";"79";"Appartement";45;1;NA
1608;"04/10/2024";"Vente";79410;"SAINT GELAIS";"79";"Maison";83;4;575
1615;"30/09/2024";"Vente";79000;"NIORT";"79";"Maison";103;5;500
1620;"16/09/2024";"Vente";79000;"NIORT";"79";"Appartement";36;1;NA
1623;"01/10/2024";"Vente";79000;"NIORT";"79";"Appartement";43;2;NA
1633;"25/09/2024";"Vente";79210;"SAINT-HILAIRE-LA-PALUD";"79";"Maison";92;4;241
1635;"15/10/2024";"Vente";79000;"NIORT";"79";"Appartement";65;3;NA
1653;"02/10/2024";"Vente";79210;"SAINT-HILAIRE-LA-PALUD";"79";"Maison";119;2;501
1670;"30/09/2024";"Vente";79260;"LA CRECHE";"79";"Maison";160;6;1006
1676;"27/09/2024";"Vente";79360;"BEAUVOIR-SUR-NIORT";"79";"Maison";79;4;NA
1681;"30/09/2024";"Vente";79000;"NIORT";"79";"Appartement";43;2;NA
1689;"18/10/2024";"Vente";79000;"NIORT";"79";"Maison";147;5;800
1695;"11/10/2024";"Vente";79260;"LA CRECHE";"79";"Maison";111;4;697
1696;"29/10/2024";"Vente";79000;"NIORT";"79";"Maison";133;4;510
1697;"25/10/2024";"Vente";79410;"SAINT GELAIS";"79";"Maison";127;4;655
1700;"29/10/2024";"Vente";79000;"NIORT";"79";"Maison";91;3;178
1702;"23/10/2024";"Vente";79000;"NIORT";"79";"Maison";245;7;335
1703;"22/10/2024";"Vente";79000;"NIORT";"79";"Maison";100;4;140
1713;"22/10/2024";"Vente";79000;"NIORT";"79";"Appartement";64;2;NA
1723;"17/10/2024";"Vente";79230;"AIFFRES";"79";"Maison";127;6;812
1726;"24/10/2024";"Vente";79460;"MAGNE";"79";"Maison";70;4;420
1733;"17/10/2024";"Vente";79000;"NIORT";"79";"Maison";67;4;304
1737;"17/10/2024";"Vente";79360;"PLAINE-D'ARGENSON";"79";"Maison";70;3;715
1751;"25/10/2024";"Vente";79360;"BEAUVOIR-SUR-NIORT";"79";"Maison";248;5;519
1755;"30/10/2024";"Vente";79000;"NIORT";"79";"Maison";115;6;673
1764;"13/11/2024";"Vente";79230;"AIFFRES";"79";"Maison";73;3;511
1770;"17/10/2024";"Vente";79270;"LE VANNEAU-IRLEAU";"79";"Maison";81;4;902
1783;"06/11/2024";"Vente";79210;"MAUZE-SUR-LE-MIGNON";"79";"Maison";62;3;254
1799;"31/10/2024";"Vente";79000;"NIORT";"79";"Maison";104;5;455
1803;"04/11/2024";"Vente";79270;"FRONTENAY-ROHAN-ROHAN";"79";"Appartement";57;3;NA
1808;"24/10/2024";"Vente";79360;"BEAUVOIR-SUR-NIORT";"79";"Maison";114;5;1200
1811;"30/10/2024";"Vente";79210;"MAUZE-SUR-LE-MIGNON";"79";"Maison";112;4;1066
1821;"14/11/2024";"Vente";79000;"NIORT";"79";"Appartement";24;1;NA
1849;"18/11/2024";"Vente";79210;"SAINT-HILAIRE-LA-PALUD";"79";"Maison";86;4;312
1852;"28/11/2024";"Vente";79260;"LA CRECHE";"79";"Maison";132;5;1420
1864;"08/11/2024";"Vente";79270;"FRONTENAY-ROHAN-ROHAN";"79";"Maison";181;6;440
1867;"18/11/2024";"Vente";79000;"NIORT";"79";"Maison";56;2;126
1869;"28/11/2024";"Vente";79000;"NIORT";"79";"Appartement";39;2;NA
1877;"03/12/2024";"Vente";79000;"NIORT";"79";"Maison";73;3;214
1897;"10/12/2024";"Vente";79000;"NIORT";"79";"Appartement";42;2;NA
1899;"14/11/2024";"Vente";79360;"BEAUVOIR-SUR-NIORT";"79";"Maison";52;2;507
1907;"25/11/2024";"Vente";79000;"NIORT";"79";"Appartement";66;3;NA
1910;"09/12/2024";"Vente";79360;"LA FOYE MONJAULT";"79";"Maison";105;5;571
1913;"13/12/2024";"Vente";79000;"NIORT";"79";"Maison";86;4;573
1914;"03/12/2024";"Vente";79260;"LA CRECHE";"79";"Maison";62;3;375
1919;"12/12/2024";"Vente";79000;"NIORT";"79";"Maison";73;4;563
1923;"06/12/2024";"Vente";79230;"AIFFRES";"79";"Maison";77;4;186
1924;"04/12/2024";"Vente";79270;"FRONTENAY-ROHAN-ROHAN";"79";"Maison";63;3;355
1932;"10/12/2024";"Vente";79230;"AIFFRES";"79";"Maison";64;3;428
1939;"28/11/2024";"Vente";79000;"NIORT";"79";"Maison";117;6;444
1941;"09/12/2024";"Vente";79000;"NIORT";"79";"Appartement";29;1;NA
1944;"18/12/2024";"Vente";79000;"NIORT";"79";"Appartement";53;1;NA
1958;"18/12/2024";"Vente";79210;"AMURE";"79";"Maison";92;4;761
1964;"13/12/2024";"Vente";79000;"NIORT";"79";"Appartement";20;1;NA
1977;"27/12/2024";"Vente";79210;"ARCAIS";"79";"Maison";90;4;58
1980;"13/12/2024";"Vente";79000;"NIORT";"79";"Maison";105;4;355
1981;"18/12/2024";"Vente";79000;"NIORT";"79";"Maison";73;4;136
1987;"27/12/2024";"Vente";79510;"COULON";"79";"Maison";97;4;1360
1988;"23/12/2024";"Vente";79000;"NIORT";"79";"Appartement";71;4;NA
1991;"05/12/2024";"Vente";79000;"BESSINES";"79";"Maison";98;5;1642
1996;"17/12/2024";"Vente";79210;"VAL-DU-MIGNON";"79";"Maison";123;5;424
1999;"23/12/2024";"Vente";79000;"NIORT";"79";"Maison";166;5;1000
2009;"30/12/2024";"Vente";79000;"NIORT";"79";"Maison";80;5;380
2010;"30/12/2024";"Vente";79000;"NIORT";"79";"Maison";36;1;779
2013;"30/12/2024";"Vente";79460;"MAGNE";"79";"Maison";196;4;672
2018;"16/12/2024";"Vente";79410;"ECHIRE";"79";"Maison";42;3;170
2028;"27/12/2024";"Vente";79000;"NIORT";"79";"Appartement";45;1;NA
2044;"23/12/2024";"Vente";79210;"SAINT-HILAIRE-LA-PALUD";"79";"Maison";105;2;174
2070;"09/01/2023";"Vente";79000;"NIORT";"79";"Appartement";43;2;NA
2080;"04/01/2023";"Vente";79180;"CHAURAY";"79";"Maison";85;4;421
2081;"06/01/2023";"Vente";79000;"NIORT";"79";"Maison";92;4;333
2084;"13/01/2023";"Vente";79000;"NIORT";"79";"Appartement";81;4;NA
2095;"05/01/2023";"Vente";79000;"NIORT";"79";"Maison";99;4;458
2097;"18/01/2023";"Vente";79000;"NIORT";"79";"Maison";124;7;116
2099;"25/01/2023";"Vente";79000;"NIORT";"79";"Maison";86;4;558
2101;"03/01/2023";"Vente";79180;"CHAURAY";"79";"Maison";44;2;127
